mos,fr
Gũus tɩ waaf n pɩgl sorã n gãe.,Fais attention car il y a un serpent à travers de la route.
wall pɩgsa,ailes de tourterelle
A pɩɩgda roogã.,Elle balaie la chambre.
Ned pɩɩsda roog n mong nang bʋʋm.,On doit balayer sa case afin de donner tort au scorpion. (Proverbe; il faut de l'anticipation)
A pɩɩsa a meng n da kambã lekoll teedo.,Il a dépensé tout son argent pour acheter les fournitures scolaires pour les enfants
Baagã pɩka roogã noor n gãe.,Le chien est couché à travers de la prote de la chambre.
Pek zũurã sõama tɩ pɩle.,Nettoie bien le bracelet pour qu'il brille.
A zũurã yãgda pɩlem-pɩlem.,Son bracelet brille avec éclat.
Zu-pɩlemde.,Tête sans cheveux.
A zugã pɩlmame t'a lebg zu-kõogo.,Sa tête est dénudé. 
"La bãmb futã lebga peelse, n pɩnda.",Et son vêtement devint d'une éclatante blancheur.
Pẽerã bee koomã pʋg n pɩrda.,Le poisson est dans l'eau et se débatte avec vivacité.
A yɩɩndame la a wẽed pɩrga.,Il chante et tape le rythme avec une bague.
Zĩ-pɩsemd ka yit moog ye.,Un endroit sans herbe.
Sɩlgã pɩsga no-bilã n looge.,L'épervier a pris le poussin en passant et est parti.
Ra pɩʋʋg sorã.,Ne traverse pas la route.
So-pɩʋʋga.,Un carrefour.
"Tɩɩg sã n dat kũum, a pooda yogdo.","Proverbe: Quand un arbre est sur le point de mourir, il s'y creuse des trous."
A tarda po-tula.,Il marche à reculons.
A gõda a naoã poagla.,Elle est assise les jambes repliées d'un côté. 
Yao-poaka.,"Petite sœur, sœur cadette."
"Wobd sã n zabd taaba, bɩ poanda bao zĩiga.","Quand des éléphants se battent, que les crapauds s'éclipsent. (Proverbe: chacun doit savoir reconnaître la compagnie qu'il peut avoir ou les lieux qu'il peut fréquenter sans courir un danger.)"
A basa a menga n lʋɩ poasa.,Il s'est laissé tomber «posa».
A yãka nug poɛɛm bɩ sutg poɛɛm?,A-t-il utilisé la mesure d'une main ou bien la mesure d'une louche ?
Pagã yeelame t'a kuiis n na n tɩ pogame.,La femme a dit qu'elle rentre à la maison pour faire la cuisine.
B pʋɩɩme n pog taab tɩ lebg zaba.,Ils ont triché dans la distribution et c'est devenu une dispute.
A lʋɩɩme n pogle.,Il est tombé et s'est blessé.
Bõe n pogend koomẽ wã?,Qu'est-ce que fait ce bruit de clapotis dans l'eau ?
"Ned rogda poko, n tek raoogo.",On met au monde une fille pour échanger contre un garçon. (Proverbe: on ne doit pas regretter le sacrifice ou le bien qu'on a fait à autrui.)
"Fo sẽn pa lub a Poko, n bas n yet t'a Raoog na sã.","Tu n'as pu terrasser la femme et tu provoques l'homme. (quand on n'a pas pu vaincre son premier adversaire pour raison données, o ne sera pas capable de vaincre un autre pour les mêmes raisons)"
Tak wĩirã tɩ polame.,Tire le corde car elle est détendue.
Wil-poala.,Jeunes branches.
Biigã pooga sãaga.,L'enfant a la diarrhée.
Yolgã poogame.,Le sac a un trou.
A bee roogã poore.,Il est derrière la maison.
Yaa bõe poorẽ?,C'est à propos de quoi?
"La gese, poorẽ dãmb n be n na n yɩ dẽenem dãmba, tɩ dẽenem dãmb me na n yɩ poorẽ dãmba. ",Et voici: il y a des derniers qui seront premiers et des premiers qui seront derniers. 
A poremdame n ka rat n togs sɩd ye.,"Il ment, il ne veut pas dire la vérité."
"Soaamb yet t'a wʋm a yak põ, la a ra wʋm a meng põ ye.",Le lièvre dit qu'il est préférable d'entendre le coup assommant du voisin et pas celui qui vous assomme. (Proverbe)
A taame n põond põana n beel sãanã.,Elle est venue s’agenouiller de manière souple pour souhaiter la bienvenue au visiteur.
A põda a nao wã n zĩẽ.,Il est assis les jambes repliées.
A põenga a zugã n sõog kaam tɩ põeeda.,Il a rasé la tête et l'a enduit avec huile afin qu'elle luise.
Noaagã baooda zĩig n na n põgemd a kamba.,La poule cherche un endroit pour mettre ses poussins à l'abri.
A põka yʋʋrã n tʋke.,Elle prends le canari et le prote sur la tête.
Biigã põkame n lebg bedre.,Le bébé a pris du poids et est devenu grand.
a põnega põaag tɩɩm n na n yũ.,Il a reçu du fumier et le met sur son champ.
A põnga a zugã beelle.,Il a rasé sa tête (il est chauve).
Bõe n ki n põog t'a yũugã yit woto?,Qu'est-ce qui est mort et pourrit que ça pu ainsi ?
"F sã n yɩ põom-põom, mobillã na n loog n bas-f lame.","Si tu est négligent, ta voiture va te lâcher un jour."
A põondame n na n tʋk yʋʋrã.,Elle fléchit les genoux pour prendre le canari.
"F sã n toeem tẽnga, bɩ f bas f ba-yir põosem.","Si tu changes de localité, il faut abandonner les caprices que tu avais chez toi. (Proverbe, sens: Quand on part à l'aventure, on n'a pas le choix que de se battre.)"
Bõn-põosg yũug n yita.,La chose pourrie pue.
Ãndã n na n tõog n põse?,Qui pourra s’échapper ?
A nodrã metã puudame n dʋʋgdẽ.,Sa plaie fait suinter du pus.
Man-tɩɩgã puu sõama.,Le manguier fleurit bien.
Kambã pugda tomã n yɛs puddd.,Les enfants se roulent au sol et sont tout blancs (de poussière).
Fo ninga fu-kãnga n dat n pug maam.,Tu as mis cet habit pour me défier.
A fõka a puglã n wõgemd n pʋʋs naaba.,"Il a enlevé son chapeau, s'est courbé et a salué le chef."
Wall kõbg yaa pugsgu.,Les plumes de la tourterelle sont grises.
Ad boko! Ad a puiiga!,"Voici un trou ! Voici son issue ! (Proverbe: il faut penser à tout, et il faut avoir des preuves)"
Nodrã zabdame n puiisdẽ.,La plaie cause une douleur aiguë.
A kẽndame n puiisdẽ.,Il marche avec détermination.
La Zu-soabã malɛk puka a meng ne a Zakari.,Un ange du Seigneur apparut alors à Zacharie.
No-puka.,Poule grise.
A puka a nugã n deeg ligdi.,Il a ouvert sa main et a reçu de l'argent.
Zĩigã puka ne wubsgu.,L'endroit est devenu gris de poussière.
Rãamã pula koom.,Le dolo est dilué par l'eau.
M noaagã kõbg yaa pulpuka.,Les plumes de ma poule sont grisâtres.
Ra le purs maam tɩ m na n pãb-f lame.,"Ne me fais plus ce bruit de mépris, sinon je vais te frapper."
Foo n pusg biigã balle?,Tu as fait éclater le ballon de l'enfant ?
Nao-pusumd n tar-a t'a keoosdẽ.,Il a le pied fendillé et il boite en marchand.
Da puug f sũur ye.,Ne te fâche pas.
Rãamã kũmame n puugi.,La bière fermente et produit de la mousse.
A wuka koom n puus bugmã.,Il asperge l'eau sur le feu.
A karsã pũname n ya goala.,Sa ligne fait une courbe.
Waafã pũname.,Le serpent est enroulé.
"Bɩ y yɩ pʋ-peelem dãmba, bala, Wẽnnaam yaa pʋ-peelem soaba.","Soyez saints, car Dieu est saint."
A Zeezi yaa pʋ-peelem soaba.,Jésus est juste /saint.
Pʋ-roog soab n so kiuugu.,La fête appartient à celui qui a un gros ventre (ou au gourmand). (Proverbe: Il ne faut pas avoir de la gêne à profiter si l'on y voit l’intérêt)
"Pʋ-toog rʋk sã n ka rʋg a menga, a pa rʋgd ned ye.","Si la marmite de la méchanceté ne se brûle pas, elle ne brûlera personne. (proverbe)"
"A pʋda sʋk n lebge, a pa ta ye.","Il est retourné après mi-parcours, il n'est pas arrivé là-bas."
A pʋd n data bõe?,Que veut-il d’ailleurs ?
A pʋda a biigã yʋʋr t'a Polle.,Il l'a nommé son enfant «Paul».
Pʋdg koomã n kõ-m tɩ m yũ.,Verse-moi un peu d'eau pour boire.
Yams-pʋdre.,Une partie du sel. Une demi-barre de sel.
"Pʋg-beoog sã n tʋk a peoog, bɩ rʋms ra la tɩ b fãa sor yaa a ye.","Si la femme mal-aimée est renvoyée du foyer, que les favorites ne s'en moquent pas, car elles ont le même chemin. (Proverbe: quand un voisin vit un malheur, on ne doit pas se réjouir, car on ne sait pas de quoi demain sera fait. On doit au contraire lui venir en aide.)"
"Pʋg-neer sã n pa wagdre, a yaa sõeya.","Si une belle femme n'est pas une voleuse, elle est une sorcière. (Proverbe: l'être humain ne peut être parfait. De tells jugement ne sont-ils pas pas motivés pal la jalousie?)"
Pʋg-beoog biig katr rigda pʋg-rʋmd biig yĩnga.,"On chasse l'hyène qui s'attaque à l'enfant de la femme mal-aimée à cause de l'enfant de la favorite. )Proverbe: Il y aura injustice en cas de traitement différent. Question de jurisprudence, de rétroactivité d'une loi ou d'une mesure)"
"Pʋg-sad yaa wobg gãongo, sʋʋg sẽn nooma n wãagde.","La fille est une peau d'éléphant, celui dont le couteau est tranchant la coupe. (Proverbe: pour conquérir la fille, il faut faire preuve de beaucoup de générosité envers elle et même envers ses proches sinon, c'est le rival qui l'arrachera)"
A lebga pʋg-sɛda.,Elle est devenue jeune fille.
Pag pa lub a pʋg-to la a sɩngr be neere.,"La femme n'a pas terrassé sa coépouse mais son début est prometteur. (Proverbe: quand on réunit tous les outils nécessaires et toutes les bonnes conditions pour démarrer un travail, même si le travail nǝ pas encore été exécuté avec satisfaction, le dispositif rassure à une bonne issue.)"
Biig pa yã a ma wẽndẽ n yet t'a ba kẽ ne pʋg-wẽnga.,"L'enfant n'a pas été témoin de la jeunesse de sa mère, soutient que son père a marié une méchante femme. (Proverbe: on fait des faux jugements sur une situation ou à propos d'une personne quand on n'a pas toutes les informations la concernant.)"
Neb fãa mii pʋg-yãangã yʋʋr la b boond-a tɩ m yaaba.,"Tout le monde connaît le nom de la vieille, mais on l'appelle grand-mère. (Proverbe: on doit faire preuve de discrétion dans certaines situations pour éviter de choquer le goût et la sensibilité des autres.)"
Pʋg-yend sɩd yaa rakõap kasma.,Le monogame est l'aîné des célibataires. (proverbe disant qu'il est toujours bien de prendre des précautions pour prévenir un risque qui pourrait survenir)
"Pʋg-zẽeg wa n ka neer me, a gɛy yaa wɩɩla.","Même si la femme au teint claire n'est pas belle, ses cuisses sont séduisantes. (Proverbe: la personne qu'on aime n'a pas des défauts. Lorsqu'on aspire quelque chose (emploi, engin etc.) on fait fi des appréciations négatives)"
F pʋg gõe la f gõe.,"C'est parce que ton ventre dort que tu dors. (Proverbe: tant qu'il y a des difficultés (faim, absence de paix, chômage, maladie, soucis), il faut courir pour chercher les solutions. On ne peut pas rester à ne rien faire.)"
A kẽe zakã pʋga.,Il est entré dans la maison.
D sõng pag fãa sẽn tar pʋga.,Nous aidons toutes les femmes qui sont en grossesse.
Roogã yaa pʋs a tãabo.,La maison a trois chambres.
"Kengr naab sã n zombe, yolsg naab n pʋgde.","Si un chef oppresseur règne, un chef pacifique lui succédera. (Proverbe, sens: Dans une situation difficile, on doit garder espoir, car les conditions peuvent s'améliorer)"
A n yet tɩ «rẽ yĩnga». «rẽ» yaa lɛta tɩ «yĩnga» ya yʋʋr pʋgdenga,"Il a dit « Ah, c'est pour cela »"
Roogã kẽeda pʋgdg-pʋgdga.,On entre la maison ;'un après l'autre.
A reng taoor tɩ mam pʋge.,Il est allé devant et j'ai suivi.
Tẽngã fãa pʋgẽ.,Dans toute la ville.
A ka pʋɩ fãa ye.,Il n'a pas tout partagé.
Sãan bʋta kamaan-yaoog n ges tẽng-n-dãmb pʋɩɩbo.,"L'étranger sème tardivement son champ de maïs pour voir comment les autochtones partagent. (Proverbe: afin d'éviter des erreurs, on doit s'informer. Celui qui demande ne s'égare pas."
B yãka bũmbã fãa piig pʋɩɩr n kõ yẽnda.,Ils lui ont donné la dixième part de toutes choses.
"Wĩntoog nemd sã n pʋɩt ne bugum, zãmb n be be.","Si la viande de la journée se partage avec de la lumière, il y a de l'injustice. (Proverbe: il est impossible d'empêcher l'injustice quelles que soient les précautions qui sont prises pour permettre qu’il y ait la transparence, l'équité et la justice, du fait de la mauvaise volonté de l'homme lui-même.)"
Taangã tẽngr pʋka ne taama.,Le sol sous le karité est couvert de fruits de karité.
Bɩ f pids pʋleng ning fo sẽn pʋlmã. ,Tu dois accomplir le vœu que tu a promis.
A pʋs n ka bool maam tɩ ned ye.,Il ne me considère pas du tout comme une personne.
"La a ka sãoog baa bilf ye, bãagã pʋs n yangame.","Mais, au contraire son état avait plutôt empiré. "
Da tags y sũyã pʋs t'a Abrahaam sẽn ya yãmb yaabã sekame ye.,Ne pensez pas dans vos cœurs que le fait qu'Abraham est votre père suffit.
"Yãk pʋsʋka, la f kell pʋsʋka.",Prends la moitié et laisse l'autre moitié.
Pʋtẽer soaba n ningd no-sar koom sẽoogo.,C'est celui qui a la mémoire qui alimente l’abreuvoir de la volaille pendant l'hivernage. (proverbe: il faut toujours apporter un appui aux autres.)
Taam-pʋto.,Pulpe de karité.
"Pʋto tɩɩm pa tuud ye, võodame.","Le gri-gri de la méchanceté ne se creuse pas, ça s'arrache. (proverbe disant: celui qui fait le mal le fait sans état d'âme.)"
Pʋto-ned yũuda a bĩnd koom.,"Qui fait des vilaines choses exprès boit l'eau de ses excréments. (Proverbe: en croyant faire du mal aux autres, son mal se retourne contre lui-même. Nous devons toujours bien faire car nous serons payés pour les actes que nous posons.)"
"Bʋʋg sã n paam taam n dɩ, bɩ a pʋʋs sebg barka.","Si une chèvre gagne des amandes de karité à manger, qu'elle remercie le vent. (proverbe: il faut être reconnaissant à tout bienfaiteur)"
Naab pa pʋʋsd wa Wẽnd ye.,"On ne salue pas le chef comme on salue Dieu. (Proverbe: il est toujours bienséant d'apporter un cadeau au chef, à l'autorité, au supérieur hiérarchique, car on aura besoin de ses largesses un jour ou l'autre. Il faut créer les bonnes relations avant que ce jour arrive.)"
A Musa pʋʋsda foo.,Moussa te salue.
Sãan pʋʋsem la a zɩɩbo.,Les salutations de l'étranger lui sont un pesant fardeau. (Proverbe: les salutations de l'étranger sont toute préoccupation que l'on a et que l'on cherche à résoudre. C'est un fardeau duquel on cherche à se débarrasser.)
Ã ! Yaa fo bɩ?,Ah! C'est toi?
Koomã. Biigã.,Cette eau-là. Cet enfant-là (en question).
"ka sakd «ãa» ye, sakda «naaba».","ne dites pas simplement «oui», dites plutôt «oui, s'il vous plaît»."
ra-ãbga,bière aigre
Wẽnd na kõ laafɩ. Amina!,«Que Dieu vous donne la santé». «Amen».
Woto yaa ãnda rẽnda?,Ceci appartient à qui?
Yaa tɩ-ãsdga.,C'est un arbre facilement cassable.
Seobgã kɩtame tɩ tɩɩgã wil bɛd ãs n dʋʋge.,Le vent a fait que la grand branche de l'arbre se casse et tombe par terre.
Koomã ãsga pibrã.,L'eau a rompu la digue.
Kʋlgã rɩɩme n dɩ n ãsem n kẽnge.,Le fleuve s'est étale sur une grande surface.
"Noomame yẽ, la ha, ka nana ye.","C'est formidable, cependant,, ce n'est pas facile."
Yɩ ha' tɩ m pãb-fo.,Fais le moindre bruit et je vais te frapper.
Haa tɩ m gese.,"Ouvre (la bouche), je vais voir."
A habenda woto.,Il hurle comme ça.
Mam habsd wa baag n boond-f tɩ f sĩnda.,Je crie le maximum pour t'appeler et tu te tais.
Yaa hal Bobo.,C'est jusqu'à Bobo.
«Zu-soabã sõnga tõnd hal tɩ ta ka.» ,«Jusqu'ici le Seigneur nous a secourus». 
A kula hal-hale.,Il est rentré à la maison depuis longtemps.
A yaa a ba halaale.,Il est purement / exactement comme son père.
A na wa halɩ.,I viendra certainement.
"M nong-f yẽ, la hao, la paka maam.","Je t'aime vraiment, cependant cela m'étonne."
Haya! Wa-y tɩ d kẽnge.,Debout! Venez on va partir.
Haya-haya n zẽkd roog sugri.,L'union fait la force pour soulever un toit de maison. C’est en s’associant qu’on arrive à coiffer une case.
Hã! Kaare! Wa reeg wɛ!,Heu! viens prendre!
Roogã noor sẽn pak hãa wã yaa bõe?,"La porte grandement ouverte comme ça, c'est quoi?"
Yʋngo rot nins sẽn tar-b bugmã yaa hãmm....,La nuit les maison qui ont du courant sont toutes illuminées.
A taka fuugã n pãrg hãrrr...,Il a déchiré le tissu a fait un fort bruit.
"He', maan gũusgu!","Eh, soyez prudents !"
Bõang hĩrsdame.,L'âne brait.
M tẽedame t'a waame.,Je pense qu'elle est venue.
A kell n pa ta yir ye.,Il n'est pas encore arrivé à la maison.
Mam miime n ta foo.,Je sais autant que toi.
Tõnd sõngda taaba.,Nous aidons les uns les autres.
Bãmb fãa rag n tigma taab zĩig a yembre.,Ils étaient tous ensemble dans le même lieu.
B soka a Zã yaa: «Fo tara neb a taab sẽn be ka bɩ? ,Ils ont demandé à Jean: «As-tu d'autres gens qui sont ici ?»
Ne y taabo.,Bonne fête.
Ne y taabo!,Bonne fête !
Yaa mam reed-n-taaga.,C'est mon compagnon de jeu.
A fẽega a yõorã n taag roogã.,Il s'est mouché et a essuyé la morve contre la case.
"Wẽnnaam na n basa b ka-tɩrlmã taale, la a ka na n leb n tẽeg b yel-wẽnã yell ye.","Dieu leur fera grâce de leurs injustices, et il ne se souviendra plus de leurs péchés."
A taanda rʋkã.,Elle enduit la marmite.
A zoobdã kõegenma ne rẽgd n lebg taalle.,Ses cheveux sont mélangé avec de la saleté et ils sont devenus collants.
A yẽda bokã ne tãndo n taamd ne a nugu.,Il a fermé le trou avec du banco et a lissé extérieure avec sa main.
B koo pʋ-bilã n sɛ n taamd pʋ-kãsengã.,Ils ont fini de cultiver le petit champ et ils ont entamé de cultiver le grand champ.
A ninã taama zãng t'a lebg zõanga.,Ses yeux se sont fermés pour toujours et il est devenu aveugle.
B koo pʋ-kãngã n sa n kell n taam pʋʋg a to.,Ils ont fini de sarcler ce champ et ils ont encore enchaîné une autre champ.
"Yaa mam taare, a nonga sɛbã.","C'est mon semblable, il aime des livres."
B zĩid-n-taarã yɩ-b-la noogo.,Leur cohabitation est bon pour eux.
Wẽnd na taase.,Que Dieu fasse que vous arrivez bien. (Au revoir) 
Nebã tabda ligd n ka miẽ ye.,Les gens marchent sur l'argent sans le savoir.
Sʋʋrã taba lalgã n ka yɩkdẽ.,Le criquet est collé au mur sans s'envoler.
Mui wã kãbame n tabend rʋkã.,Le riz est cramé et se colle à la marmite.
A tabga nem-võrã n leemse.,Elle prend une boulette de viande et la mette dans la bouche.
A tabg-a-la ne a naoorã t'a pusgi.,Il a marché dessus et cela s'est éclaté.
Bao koll n tabl sebrã lalgã.,Prends de la colle et colle le papier au mur.
Gomda ne-a t'a sĩnd tada n zĩẽ.,Parle avec lui car il refuse totalement de coopérer.
Yɩɩ tadb-tadb bal la d tõog n taame.,La marche sera pénible mais nous pourrons arriver.
"Sorã yaa maasre, la d na tadb n ta.",La route est mouillée et nous marchons ainsi dans la boue.
Saagã tadga maam.,La pluie m'a mis en retard.
A bãagã kɩtame t'a tadg zãnga.,Sa maladie a fait qu'il est complètement fatigué.
"Bõangã tadgame, a pa kẽn ye.","L'âne refuse d'avancer, il ne marche pas."
Nin-kẽemã tadsdame.,Le vieillard marche lentement et péniblement.
Biigã taga no-bĩndu.,L'enfant a marché sur des excréments de poule.
A taglem yɩɩda maam.,Il est plus gros que moi.
Seb-vã-kãngã tagma.,Cette feuille de papier est épaisse.
Yaa tagr wʋsgo.,C'est très épais.
Tags-wok soab n ningd sẽoog no-sar koom.,C'est celui qui a la mémoire qui alimente l’abreuvoir de la volaille pendant l'hivernage. (proverbe: il faut toujours apporter un appui aux autres.)
A Zã mi b tagsgã.,Jean connaît leur pensées.
Tags n ges f na n maan wãna.,Réfléchis bien comment tu vas faire.
Tak bõangã n tɩ loe moogẽ wã.,Tire l'âne et va l'attacher là où il y a de l'herbe.
Mi n tak zerɩ la f yaool n tʋm tʋʋmde.,Réfléchis bien et puis fais le travail.
Takem-takem são no-vɩʋʋgo.,Un presque rien à mâcher vaut mieux qu’une bouche vide. (proverbe disant: mieux peu que rien)
A takemdeda nemdo.,Il mâchonne de la viande.
M ka mi m sẽn maand bũmb ning takɩ ye.,Je ne sais pas exactement ce que je fais.
A takma nemdo.,Il a mâchonné de la viande.
"F nug sã n be baag noorẽ, bɩ gũus takre.","Si ta main est dans la gueule du chien, il faut tirer avec prudence. (proverbe: quand on est pas libre ou qu'on a pas de choix, on doit agir en fonction de la situation)"
Naam ne sutg sãoo talemd ne peoogo.,Un e louche de pouvoir (ou de chefferie) vaut mieux qu’une pleine corbeille de vassalité. (proverbe)
Talg kõn dɩk a meng n mak ne na-biig ye.,Un roturier ne se mesure pas avec un prince.
A yãk sag-võr n talg zẽedã n lob baagã.,En tenant un peu de tô il racle un peu de sauce et le donne au chien.
Tall rɩɩbã n kẽ zakẽ.,Amène la nourriture à l'intérieur de la maison.
"Waaf sã n tall a menga, a yɩta wag-bedre.","Si un serpent est prudent, il sera un gros serpent. (proverbe: la prudence est importante)"
Tall tɩ m kõ-f lame.,Garde cela car je te l'ai donné.
"A talla arzɛka, la mosã saame.",Il avait des richesses mais maintenant c'est fini.
Nug talle.,Paume de la main.
"Yõor sã n wogla, a soab n bãng a tallgo.","Si une vie se prolonge, son propriétaire a su l'entretenir. (Proverbe: L'entretien de la vie consiste aux respects des principes et règles édictés par la société, au respect des interdictions. C'est aussi la prudence,, la méfiance pour éviter le danger)"
Bugmã kii tama.,Le feu est complètement éteint.
A wẽ-a-la tamm.,Il l'a frappé durement.
A yãka koom n tams bugmã tẽma.,Il a pris de l'eau et il a éteint le feu complètement.
Taang-sũm yaa tantabre.,La sève du karité est visqueuse.
Lebg tao!,Reviens vite !
Kẽng tao-tao.,Va vite. 
Pʋg-taoko.,Femme forte.
Ges f taoore.,Regarde devant toi.
A taoor n zabde.,Il a une maladie au sexe. (son sexe lui fait mal).
M tara pãnga.,Je suis fort.
B fãa tarame n leb poorẽ.,Ils ont tous reculé et sont retournés en arrière.
"M wʋmame tɩ fo pa keem ye, tɩ m wat n na n pʋʋs-y tarem.",J'ai entendu que tu ne vas pas bien alors je suis venu pour te soutenir moralement.
Targ la f bas weer tɩ m zĩndi.,Bouge un peu et laisse de la place pour que je m'assoie.
Roogã tasmame n wɛ zĩis a yi.,La mur de la maison s'est fendue en deux parties.
Sẽn salemd yɛgdg tata tʋbre.,Proverbe: Ce qui caresse la tempe atteindra l'oreille. (Ce qui arrive au voisin peu t'arriver aussi).
Bʋ-tatre.,Chèvre adulte.
Ya a zĩigẽ tã-tã wã la be.,C'est exactement l'endroit-là.
Zakã noor tã la biigã rõbend n sã.,L'enfant a chié exactement à l'entrée de la maison.
Yaa wãn tɩ f get-m tãa woto?,Pourquoi me regardes-tu ainsi d'un regard fixe et menaçant ?
A zĩi a yembr tãa.,Il est assis tout seul.
Hat ning sẽn watã yaa tãablem sõng kibs daare.,Le dimanche qui vient est la fête de la Sainte Trinité.
Nag-yãangã tãaga maam.,La vache ma donné un coup de corne.
"Nemdã tõdga bɩɩbo, n tãeene.",La viande a mal supporté la cuisson et est devenu raide.
A muma a ninã tãg-tãge.,Il a complètement fermé ses yeux.
Kãan-bi-gõaadg rɩta tãmbɛg-bi-raase.,Le pintadeau qui erre se nourrit des termites chétives. (proverbe disant: certains de nos comportements nous portent souvent préjudice et doivent par conséquent être abandonnés dans la mesure du possible)
Zu-tãmbre.,Une tête grosse et difformée.
Tãmba a nu la wakɩre.,5 pièces = 5 f CFA (ce qui est l'unité de base pour compter l'argent en mooré).
Bõan-tãmpʋʋre.,Couleur grise d'âne.
A tãndgdame t'a na paam ligdi.,Il s'est affairé pour gagner de l'argent.
B rɩka tʋʋmdã n tãng maam.,Il m'ont donné le travail à faire.
Wɛdgã tãnmame n dʋ taangã.,La liane monte en hauteur au long du karité.
Wʋk sagdã n tɩ lob tãnnaokẽ wã.,Ramasse les ordures et jette-les dans la fosse.
A tãoo liuula ne bug-raoogo.,Il a tiré un oiseau avec un fusil.
Bao kurg n tão biigã la f ra bas-a zaal ye.,Met des culottes à l'enfant et ne le laisse pas aller nu.
Ki wã tãoome n lim doto.,Le mil a poussé plus haut que les cases.
Nem-tãonglgo.,Viande dure.
Nin-yend tãoo.,Une seule personne.
"Pondr beem yaa beem zaalga, a pa tãoode, a pa rũmdi.","Le mépris pour le crapaud est un mépris gratuit, il ne donne pas de coups de pattes, il ne mord pas non plus. (Proverbe: on ne doit pas faire du tort à toute personne ou tout être qui est sans défense, pacifique ou qui est vulnérable et qui ne pourrait causer de préjudice à personne.)"
Tãood n yõsd mii a sẽn na n rɩẽ.,Celui qui rate ses cibles sait où il mangera. (proverbe disant: il faut être adroit pour réussir dans la vie)
A kẽnga weoogẽ n na n tɩ tãoose.,Il est allé en brousse pour chasser.
Biigã tãoosa bĩn-koaaga.,L'enfant a expulse de caca liquide.
Da tãs biigã ye.,Ne crie pas sur l'enfant.
A tʋka yoorã n tebla a rɩʋtgo.,Elle porte la jarre sur la tête et la tient avec sa main droite.
Tebend laagã t'a ra lʋɩ ye.,Tiens le plat avec la main afin qu'il ne tombe pas.
Zɩɩbã zɩsame tɩ ka tõe n tebg ye.,"La charge est lourde, on ne peut pas la soulever."
A nengã tedgame.,Son visage a changé.
A fu-pogdã tedga woto neeb-neeba.,Ses pagnes sont joliment alignés comme ça l'un après l'autre.
B tedemda taab futu.,Ils ont échangé plusieurs fois leurs habits.
Teeg lalgã n dʋ roogã zugu.,Appuie-toi sur le mur et monte sur la maison.
Pagã teega peen-pɛɛlga.,La femme porte un foulard blanc.
A teela biigã t'a rʋ tɩɩgã.,Il a aidé l'enfant à monter sur l'arbre.
Da bas tɩ futã teend a woto ye.,Ne laisses pas les habits traîner par terre.
Fo teemame.,Tu as changé
"Yaoog ka teesd ne nug ye, kisame.","On ne montre pas le tombeau avec le doigt, c'est interdit."
A ra wata Waogdg n tees n pa Bormo.,Il venait de Ouagadougou et s'est arrête à mi-chemin et il est resté à Boromo.
A teka fuugu.,Il a changé d’habit.
"Tekr sã n wẽnd kũuni, bɩ ned kam fãa tall a rẽnda.","Si l'échange équivaut à un cadeau, que chacun garde ce qui lui appartient. (Proverbe: si un échange paraît inéquitable et défavorable pour une des parties, cet échange n'aura pas lieu. Une éventuelle perte ou désavantage qui est pressenti remettra en cause le troc.)"
Temb-y tɩ d looge.,Préparez-vous on va partir.
Teoog koom n kõ-m tɩ m yũ.,Puise de l'eau pour moi que je puisse boire.
A paama ki laag a yiib n tep tɩ sẽoogã yi.,Il s'est débrouillé pour avoir deux plats de mil car la saison de pluies est arrivée.
A yãa gɩgemdã n ter n yalse.,Il a vu le lion et s'est arrête net.
Pʋg-yãangã tersdame n kẽnd raagẽ wã.,La vieille femme marche péniblement au marché.
Mam tẽeme t'a kõo mama tusri n mik yaa koabga.,J'ai pensé qu'il m'a donné cinq-mille Francs mais je constate que c'est cinq-cents francs.
Bɛngã tẽedame.,Les haricots sont en train de croître.
A tẽba a tefendã ne lamdo.,Il a bourré son coussin avec du coton.
B lub-a lame t'a gãe n tẽbda.,On l'a jeté par terre mais il se batte avec les jambes. 
Tẽbg zomã n gese yaa bãanega.,Prends un peu de la farine et regarde si c'est fin.
A tẽbenda mangrã t'a lebg lom-lome.,Elle presse plusieurs fois sur la mangue pour qu'elle devienne mou.
"M da tẽedame tɩ gõaag na kõs-ma, la pa toɛɛg tẽng ye.","Je savais qu'une épine me piquerait, mais pas sous un baobab. (Proverbe: il y peut avoir des grandes surprises et paradoxes dans la vie)"
A ka tẽeg ye.,Il ne s'est pas souvenu.
Tẽeg pĩirã n gãande.,Déplie la natte et couche-toi.
Bɛngã tẽemdame.,La plante de haricot grandit.
A tẽgda ki wã n wãbdẽ.,Il écrase le mil avec les doigts et le croque ensuite.
Wamdã tẽga roogẽ wã.,La calebasse est posé debout contre la case.
A tẽgna laagã.,Elle a posé le plat.
"Gʋlsg pʋgẽ, gomd baasda ne tẽka.","Dans l'écriture, la phrase se termine avec un point."
Fu-pɛɛlg sẽn tẽk sabelle.,Un habit blanc qui est taché du noir.
Zom saalg tẽma.,La farine est très fine.
Koambã moga zomã zãng tẽma.,Les enfants ont mangé complètement toute la farine.
Sũm-tẽma.,Des pois de terre durs.
B maana maoong tẽn-kugrã zug n kos saaga.,Ils font un sacrifice sur l'autel de terre pour que la pluie vienne.
